GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057010818,317,361,280,958,163,194,160,517,0.514195584,0.537396122,0.571428571,0.539665971
12057010900,2,0,0,2,2,0,0,2,1,#DIV/0!,#DIV/0!,1
12057011003,160,164,149,473,94,90,91,275,0.5875,0.548780488,0.610738255,0.581395349
12057011005,6,5,8,19,2,3,4,9,0.333333333,0.6,0.5,0.473684211
12057011006,16,15,19,50,9,7,11,27,0.5625,0.466666667,0.578947368,0.54
12057011007,0,2,5,7,0,1,2,3,#DIV/0!,0.5,0.4,0.428571429
12057011008,36,47,47,130,13,21,25,59,0.361111111,0.446808511,0.531914894,0.453846154
12057011010,26,61,44,131,20,35,25,80,0.769230769,0.573770492,0.568181818,0.610687023
12057011012,3,8,12,23,3,3,5,11,1,0.375,0.416666667,0.47826087
12057011013,25,52,33,110,16,26,21,63,0.64,0.5,0.636363636,0.572727273
12057011014,19,35,32,86,7,19,13,39,0.368421053,0.542857143,0.40625,0.453488372
12057011015,114,127,137,378,50,63,62,175,0.438596491,0.496062992,0.452554745,0.462962963
12057011016,32,22,24,78,23,13,10,46,0.71875,0.590909091,0.416666667,0.58974359
12057011103,8,11,12,31,4,5,7,16,0.5,0.454545455,0.583333333,0.516129032
12057011106,18,24,21,63,11,12,13,36,0.611111111,0.5,0.619047619,0.571428571
12057011107,18,10,44,72,12,4,19,35,0.666666667,0.4,0.431818182,0.486111111
12057011108,5,6,4,15,2,3,1,6,0.4,0.5,0.25,0.4
12057011109,7,9,7,23,3,3,4,10,0.428571429,0.333333333,0.571428571,0.434782609
12057011203,11,19,33,63,5,11,21,37,0.454545455,0.578947368,0.636363636,0.587301587
12057011204,66,91,115,272,23,44,51,118,0.348484848,0.483516484,0.443478261,0.433823529
12057011205,9,4,4,17,7,3,3,13,0.777777778,0.75,0.75,0.764705882
12057011206,61,47,87,195,35,20,38,93,0.573770492,0.425531915,0.436781609,0.476923077
